"date","acn_volume","adbe_volume","amd_volume","crm_volume","ibm_volume","intc_volume","intu_volume","nflx_volume","sony_volume","txn_volume"
"2013-12-10","2350700","3787300","29571500","3986400","4317679","18203700","2112100","14089600","1973200","5146200"
"2013-12-11","3000800","3990000","13436700","6996000","4278558","24682400","1747400","20066900","2459300","4169600"
"2013-12-12","3266300","6248200","10013900","5813800","5932494","21917800","1639200","21318500","2583600","6970500"
"2013-12-13","2841400","15848100","9074200","4452300","4376882","20631200","1698100","17854900","2214100","5596000"
"2013-12-16","4172100","8786000","22228600","6554600","7862782","25061100","2071200","13911100","1715200","4144400"
"2013-12-17","4082900","6351800","14836400","6232700","5723607","28158500","1652700","18448500","1510900","3570500"
"2013-12-18","6325600","4975300","12658100","5557300","5959794","42680500","2327400","19881400","2233500","6390700"
"2013-12-19","10933800","3310500","10419000","3597900","6199642","31880600","1879200","13849500","1007300","4910200"
"2013-12-20","6782700","5363200","12762700","5795000","8005561","55380100","6408300","18817400","2155400","8648200"
"2013-12-23","4405000","1947900","14531000","4289500","4267575","28120800","1362000","12624500","1067300","3908600"
"2013-12-24","1564700","846700","5798900","1327500","1687826","12157900","393500","5577600","923500","1339900"
"2013-12-26","2399200","1026500","9887600","1985400","3478682","16957000","581300","12268900","2041700","1960100"
"2013-12-27","2466200","1266900","8248800","1837300","3537154","12970600","698400","16948400","2892600","1938000"
"2013-12-30","2551900","1329100","17519300","3743400","3157456","19787200","838100","15075200","2027200","2445700"
"2013-12-31","2113800","1391300","12347800","3101700","3786206","22808100","1040800","10516800","1570900","2631300"
"2014-01-02","2405400","2745900","20548400","2730200","4755639","31833300","1355700","12325600","2625400","6959200"
"2014-01-03","1812600","1589000","22887200","1968700","4250107","27796700","998800","10817100","928400","4693300"
"2014-01-06","2312300","3753600","42398300","2532700","4254919","28682300","1268700","15501500","2356300","4446300"
"2014-01-07","3368400","2963600","42932100","2787200","6205186","19665100","1551000","36167600","3438300","5078900"
"2014-01-08","4217400","3456000","30678700","7036900","4815470","29680500","2437600","20001100","8572900","6353500"
"2014-01-09","4054200","2427400","30667600","4968100","4520080","20878000","1130000","17007200","2602200","3383800"
"2014-01-10","4369200","1829100","20840800","3517500","4207430","30588800","1165200","16237900","3406700","5330900"
"2014-01-13","3941400","2928700","22856100","5306500","6050796","40274500","1109000","27237000","4871000","6759100"
"2014-01-14","3288600","4179500","42434800","4924600","4831683","74142900","1113700","19740000","2860700","6892700"
"2014-01-15","4284900","4220300","66613100","8745500","5038059","58277700","1285600","40432000","2714200","6605400"
"2014-01-16","4183500","3747800","46975600","5644800","4989734","48960800","1470500","21135800","2341000","4086900"
"2014-01-17","3762200","3314500","45842700","4333300","7996252","111758900","1764500","16417100","1936100","6614200"
"2014-01-21","3031300","3198700","58702900","6130800","11585810","42286400","1229300","25220300","2853300","7413800"
"2014-01-22","3564100","3594000","86329500","3515900","14430721","48749900","2855300","48342000","3925300","9822000"
"2014-01-23","4147500","2671300","29844700","4875700","7294699","40241000","1339300","91280000","2293800","8236400"
"2014-01-24","3370800","2850700","48095800","4803500","7207568","34838700","1749800","35466900","3130000","10676700"
"2014-01-27","2640300","5258000","31332300","5136700","5448196","32564900","1670700","32526900","6793300","7360000"
"2014-01-28","2995700","3529500","27962600","5534700","5578632","32453800","1776500","43590400","2140600","6356100"
"2014-01-29","2703500","3585400","21765000","4077800","5199561","27145700","1618500","28968100","2299600","8619600"
"2014-01-30","2244700","2768300","17111700","5946200","5076970","24610100","1140800","18379200","2439100","6703000"
"2014-01-31","3696800","3112900","13602100","4612200","5432296","28623300","2103800","23625000","4790500","12821700"
"2014-02-03","3745100","6649100","22280200","5450000","7517393","52868200","2489300","20145300","2876100","12669400"
"2014-02-04","2608200","3593200","22681000","5948100","4549891","50816300","1732300","18066300","7938200","10529900"
"2014-02-05","3163200","5122600","14858900","4860800","4929066","32476200","1462700","16762900","2813400","9254300"
"2014-02-06","2224800","2898200","16072900","5180000","4489641","28008400","1590600","12852000","6325600","4734500"
"2014-02-07","3437500","4822500","23119700","7537900","4908773","30808400","2112100","32921000","3625100","6005000"
"2014-02-10","2399900","2833400","21241100","5846400","3703258","24571300","1774800","13812400","2218800","4666000"
"2014-02-11","2159900","4648000","34198100","6376300","4861076","17911700","1853900","13667500","4863100","7149900"
"2014-02-12","2489300","3137800","18321300","4786500","4166218","25874100","5066600","15673000","2781100","5041200"
"2014-02-13","1895000","3606900","13368600","4760400","4688172","22922000","3164900","18700500","4259300","5029100"
"2014-02-14","2024000","6232000","12387900","3654800","4874255","20539700","2490600","11985400","4011900","4907400"
"2014-02-18","2013800","3757900","11956700","3780100","4639219","17738100","2489500","15507800","1832700","5826100"
"2014-02-19","3801400","3994300","14175500","4929600","4886389","25686000","2359700","16031400","2655400","5346600"
"2014-02-20","2465300","3162200","13276100","5738900","5196737","20193800","1894000","11965100","1792400","5371100"
"2014-02-21","2366600","3610200","13606800","5516500","5961468","30579800","5414300","13483400","1403500","5669500"
"2014-02-24","1843100","2811700","10717900","5698600","4806684","24145500","2680200","26043500","1963400","5311800"
